"Rol","Tipo de lesión","Edad","Sexo","Vehiculo en  el que viajaba","Año","Provincia","Cantón","Distrito","Día","Mes","Edad quinquenal"
"Motociclista","Muerte","67","Hombre","Motocicleta",2023,"Puntarenas","Puerto Jiménez","Puerto Jiménez","3.Martes","H. Agosto","De 65 a 69"
"Peatón","Muerte","21","Hombre","No aplica",2023,"Alajuela","Alajuela","San Antonio","1.Domingo","E. Mayo","De 20 a 24"
"Motociclista","Muerte","Desconocido","Hombre","Motocicleta",2023,"Puntarenas","Puntarenas","Cóbano","4.Miércoles","E. Mayo","Desconocida"
"Conductor","Muerte","40","Hombre","Rural",2023,"Puntarenas","Puntarenas","Cóbano","1.Domingo","G. Julio","De 40 a 44"
"Pasajero carro","Muerte","39","Mujer","Rural",2023,"Puntarenas","Puntarenas","Cóbano","1.Domingo","G. Julio","De 35 a 39"
"Motociclista","Muerte","48","Hombre","Motocicleta",2023,"San José","Aserrí","Aserrí","7.Sábado","E. Mayo","De 45 a 49"
"Peatón","Muerte","52","Hombre","No aplica",2023,"Puntarenas","Corredores","Corredor","7.Sábado","F. Junio","De 50 a 54"
"Peatón","Muerte","23","Hombre","No aplica",2023,"Puntarenas","Corredores","Canoas","1.Domingo","G. Julio","De 20 a 24"
"Motociclista","Muerte","53","Hombre","Motocicleta",2023,"Puntarenas","Golfito","Pavón","7.Sábado","L. Diciembre","De 50 a 54"
"Motociclista","Muerte","32","Hombre","Motocicleta",2023,"San José","Montes de Oca","San Pedro","3.Martes","L. Diciembre","De 30 a 34"
"Pasajero moto","Muerte","20","Hombre","Motocicleta",2023,"Cartago","La Unión","Dulce Nombre","6.Viernes","E. Mayo","De 20 a 24"
"Peatón","Muerte","63","Mujer","No aplica",2023,"Cartago","Paraíso","Paraíso","7.Sábado","K. Noviembre","De 60 a 64"
"Motociclista","Muerte","28","Hombre","Motocicleta",2023,"Alajuela","Naranjo","San Miguel","3.Martes","I. Setiembre","De 25 a 29"
"Peatón","Muerte","38","Mujer","No aplica",2023,"Alajuela","Alajuela","San Antonio","6.Viernes","I. Setiembre","De 35 a 39"
"Motociclista","Muerte","44","Hombre","Motocicleta",2023,"Guanacaste","Liberia","Cañas Dulces","1.Domingo","C. Marzo","De 40 a 44"
"Motociclista","Muerte","28","Hombre","Motocicleta",2023,"Guanacaste","Liberia","Cañas Dulces","7.Sábado","C. Marzo","De 25 a 29"
"Motociclista","Muerte","Desconocido","Hombre","Motocicleta",2023,"Guanacaste","Liberia","Liberia","3.Martes","F. Junio","Desconocida"
"Motociclista","Muerte","27","Mujer","Motocicleta",2023,"Guanacaste","Liberia","Liberia","2.Lunes","G. Julio","De 25 a 29"
"Conductor","Muerte","26","Hombre","Automóvil",2023,"Guanacaste","Carrillo","Sardinal","1.Domingo","H. Agosto","De 25 a 29"
"Pasajero carro","Muerte","39","Mujer","Automóvil",2023,"Guanacaste","Liberia","Liberia","1.Domingo","J. Octubre","De 35 a 39"
"Motociclista","Muerte","Desconocido","Hombre","Motocicleta",2023,"Puntarenas","Buenos Aires","Pilas","1.Domingo","L. Diciembre","Desconocida"
"Ciclista","Muerte","34","Hombre","Bicicleta",2023,"Limón","Matina","Matina","6.Viernes","B. Febrero","De 30 a 34"
"Motociclista","Muerte","53","Hombre","Motocicleta",2023,"Limón","Siquirres","El Cairo","2.Lunes","G. Julio","De 50 a 54"
"Conductor","Muerte","28","Hombre","Automóvil",2023,"Limón","Siquirres","El Cairo","1.Domingo","L. Diciembre","De 25 a 29"
"Motociclista","Muerte","Desconocido","Hombre","Motocicleta",2023,"Guanacaste","Santa Cruz","Cabo Velas","7.Sábado","A. Enero","Desconocida"
"Pasajero carro","Muerte","30","Hombre","Automóvil",2023,"Guanacaste","Santa Cruz","Tempate","7.Sábado","G. Julio","De 30 a 34"
"Motociclista","Muerte","44","Hombre","Motocicleta",2023,"Guanacaste","Santa Cruz","Santa Cruz","1.Domingo","I. Setiembre","De 40 a 44"
"Motociclista","Muerte","47","Hombre","Motocicleta",2023,"Guanacaste","Santa Cruz","Tamarindo","2.Lunes","L. Diciembre","De 45 a 49"
"Pasajero carro","Muerte","62","Mujer","Automóvil",2023,"Puntarenas","Osa","Sierpe","5.Jueves","H. Agosto","De 60 a 64"
